Age,Gender,StudyTimeWeekly,Absences,Extracurricular,Sports,Music,Volunteering,GPA,ParentalInfluence,TutoringEffect
17,1,19.833722807854716,7,0,0,1,0,2.929195591667681,4,19.833722807854716
18,0,15.40875605584674,0,0,0,0,0,3.042914833436377,1,0.0
15,0,4.21056976881226,26,0,0,0,0,0.1126022544661815,6,0.0
17,1,10.028829473958217,14,1,0,0,0,2.0542181397029484,9,0.0
17,1,4.6724952729713305,17,0,0,0,0,1.2880611817953875,6,4.6724952729713305
18,0,8.191218545250186,0,1,0,0,0,3.0841836144863937,1,0.0
15,0,15.601680474699297,10,0,1,0,0,2.748237414891583,3,0.0
15,1,15.424496305808074,22,1,0,0,0,1.360142712316461,4,15.424496305808074
17,0,4.562007558047703,1,0,1,0,1,2.896819189513569,0,0.0
16,1,18.4444663630972,0,1,0,0,0,3.5734742103297656,3,0.0
17,0,11.851363655296536,11,0,0,0,0,2.1471716250185144,1,0.0
17,0,7.59848581924029,15,0,0,0,1,1.5595945190402771,2,0.0
17,0,10.038711615617212,21,1,0,0,0,1.520077814874808,3,0.0
17,0,12.101425068754876,21,0,1,0,0,1.7515809583340785,8,0.0
18,1,11.197810636915708,9,0,0,0,0,2.396788117124796,2,11.197810636915708
15,0,9.728100710723565,17,0,1,0,0,1.3415207165346672,0,9.728100710723565
18,0,10.098656081788002,14,1,1,0,0,2.232175277715976,2,0.0
18,1,3.5282382085577235,16,0,0,0,0,1.3844041756940335,0,3.5282382085577235
18,0,16.25465808609359,29,1,0,0,1,0.4695533233798704,6,0.0
17,0,10.835206398820308,9,0,0,1,0,2.3957840945307,2,0.0
16,1,2.621597234094062,2,0,0,0,1,2.778411299920653,9,0.0
15,0,15.32314203165556,25,1,0,0,0,0.3468940367050148,2,0.0
16,1,18.648879567547016,29,0,0,0,0,0.3125462305253549,0,18.648879567547016
18,1,18.94613798473924,20,1,0,0,0,1.7701318767799732,8,0.0
18,1,7.380354648223455,15,0,0,0,0,1.5051556220362858,2,0.0
16,1,2.7103374712150807,5,0,0,1,0,2.977851918315743,12,0.0
16,0,10.367992532661304,2,0,1,0,0,2.948717671911921,2,0.0
16,1,2.2521845869844137,8,0,0,1,0,2.145204720467192,9,0.0
18,0,18.679748370252344,10,1,0,0,0,2.854803928981318,0,0.0
18,0,3.67159254710292,20,1,0,0,0,1.519441725815139,6,0.0
15,0,5.055317199023282,12,0,1,0,0,1.727120309522409,0,5.055317199023282
15,0,8.132730537699409,17,0,0,0,1,1.8475354711387904,12,0.0
18,0,7.663289371182516,25,0,1,0,0,0.3846169728564877,3,0.0
16,0,15.89325784795778,21,1,1,0,0,0.94940609779728,0,0.0
16,0,9.126336411019247,27,1,1,0,0,1.1409594184203395,6,9.126336411019247
15,0,3.415365200066738,23,0,0,0,0,0.2614722600507521,1,0.0
18,0,5.344197909721482,26,0,0,0,0,0.2182848568210317,1,5.344197909721482
15,0,10.18226770375044,21,0,1,0,0,1.0677635510419796,1,10.18226770375044
15,1,2.949078348522698,3,1,1,0,0,3.0189058584279675,1,2.949078348522698
17,1,12.233113512920282,21,1,1,0,0,1.5268678317927231,3,12.233113512920282
17,1,11.314946131022918,23,0,0,0,0,1.0582873996898603,2,11.314946131022918
17,0,14.294046327645152,7,0,0,0,0,2.625128097732231,2,0.0
16,1,18.754092307587356,12,0,0,0,0,2.8087548220286536,8,18.754092307587356
18,1,18.245091222023117,9,0,1,0,0,2.888891669272444,2,0.0
18,1,18.921512361376628,1,1,1,0,0,4.0,3,18.921512361376628
18,0,4.894311940474019,7,0,0,1,0,2.515300272256249,8,0.0
18,0,2.6313061327870924,5,1,0,0,0,2.5637654300150947,2,0.0
17,0,6.04553400992897,15,0,0,0,0,1.7036118032323682,4,0.0
16,0,17.90170345532629,17,0,0,1,0,2.0998851567205854,6,0.0
16,1,19.441069492469765,16,1,0,0,0,2.4610469629080955,4,0.0
17,1,17.18649902140952,5,0,0,0,0,2.935477191694632,6,0.0
16,1,2.200354422550872,12,1,0,1,0,1.9863780592187463,0,2.200354422550872
17,1,18.948559961195865,22,0,0,1,0,1.5715441913992825,4,0.0
18,0,8.46716054701572,13,0,1,0,0,1.6643106896610833,2,0.0
17,0,0.1862058152470735,29,1,1,0,0,0.7562591665741925,0,0.1862058152470735
18,0,8.847874814963872,25,0,1,0,0,0.8027695392342074,2,0.0
18,1,0.9213833935093518,20,0,1,1,0,1.3423871779577343,8,0.0
15,0,10.87755842322235,29,1,0,0,0,0.2865712882866222,12,0.0
17,0,6.771080548741026,9,0,1,0,0,2.61383869367367,3,6.771080548741026
15,1,9.468698671880976,23,0,1,0,0,0.9290125546259368,0,0.0
17,1,12.26340721486234,10,1,0,1,0,1.892758695926592,0,0.0
17,0,17.376021916356407,12,0,0,1,0,2.331261549308754,2,0.0
15,0,13.238031529438572,11,0,1,0,0,2.234238472600233,9,0.0
15,0,8.680977369563614,8,0,1,0,0,2.3858282190764624,2,0.0
17,0,16.388557073407302,3,0,0,0,0,3.347356743507809,8,16.388557073407302
16,0,18.111642751462643,6,1,0,0,0,3.2618553073332905,3,18.111642751462643
18,0,2.3951993286439444,23,0,1,0,0,1.0396238791477144,12,0.0
15,1,10.638659551055827,28,0,1,0,0,0.0278186247324679,0,0.0
18,1,5.690239194848883,21,0,0,1,0,1.3299645378768772,6,5.690239194848883
