iter	RMSE
0	0.8855167428
1	0.8527196581
2	0.8242408659
3	0.7941340922
4	0.7667805824
5	0.7415310734
6	0.714543744
7	0.6910406999
8	0.6680772529
9	0.6471237587
10	0.6253041548
11	0.6060030257
12	0.5861955819
13	0.5675420357
14	0.5496808436
15	0.5335041846
16	0.5171780718
17	0.5017930328
18	0.4870157127
19	0.4726024684
20	0.4594876793
21	0.447158528
22	0.4354854203
23	0.4235702949
24	0.4121549325
25	0.4025462694
26	0.3922395686
27	0.3819237855
28	0.3731221253
29	0.3640690114
30	0.3567216491
31	0.3490733949
32	0.3408515699
33	0.3333655517
34	0.3260634481
35	0.319586765
36	0.3136892701
37	0.3079776552
38	0.3020267163
39	0.2962719353
40	0.2908877018
41	0.2858463667
42	0.2815555244
43	0.2766461736
44	0.2724741598
45	0.2680823151
46	0.2644450246
47	0.2602030526
48	0.2570046603
49	0.2541812627
50	0.2508708853
51	0.2476464706
52	0.244305477
53	0.2413836895
54	0.2385422902
55	0.2356833271
56	0.2329303455
57	0.2303562657
58	0.2276671027
59	0.2255599946
60	0.2236200959
61	0.2212532898
62	0.2191973432
63	0.2169810701
64	0.214808065
65	0.2127733149
66	0.2108228571
67	0.2092944469
68	0.2076478299
69	0.2061697009
70	0.2045105729
71	0.2027455002
72	0.2013389443
73	0.1999931419
74	0.198466119
75	0.1969905612
76	0.1957576776
77	0.1943791065
78	0.1931961321
79	0.1922975826
80	0.1912264465
81	0.1902278648
82	0.1892783103
83	0.1883181861
84	0.1872765962
85	0.1865477988
86	0.1855785008
87	0.1845699451
88	0.1838050159
89	0.1830661422
90	0.1823045272
91	0.1816516001
92	0.1811356022
93	0.1804940436
94	0.1797635318
95	0.1791212981
96	0.1783023481
97	0.177750444
98	0.1771250968
99	0.1765153348
100	0.1758790481
101	0.1753234374
102	0.1747975648
103	0.1741381508
104	0.1736388121
105	0.1731097204
106	0.1725825762
107	0.172180596
108	0.1718502382
109	0.1713588416
110	0.1708820003
111	0.1703342361
112	0.1697642417
113	0.1693298818
114	0.1688663468
115	0.1685078688
116	0.1681362909
117	0.167660504
118	0.1672538402
119	0.1669362343
120	0.1665468816
