iter	Passed	Remaining
0	2	2542
1	5	2723
2	8	2679
3	10	2572
4	13	2711
5	15	2565
6	17	2463
7	19	2396
8	21	2339
9	23	2337
10	26	2353
11	28	2365
12	31	2358
13	33	2347
14	36	2381
15	39	2428
16	42	2465
17	45	2460
18	47	2455
19	49	2440
20	51	2420
21	54	2416
22	57	2459
23	61	2491
24	64	2522
25	67	2517
26	70	2527
27	73	2557
28	76	2575
29	79	2577
30	81	2554
31	84	2544
32	87	2563
33	90	2578
34	93	2570
35	95	2544
36	96	2521
37	98	2499
38	101	2491
39	103	2491
40	105	2476
41	107	2460
42	109	2447
43	111	2428
44	114	2420
45	115	2401
46	117	2390
47	120	2393
48	122	2380
49	125	2380
50	127	2370
51	129	2363
52	131	2352
53	133	2346
54	135	2335
55	138	2337
56	140	2327
57	142	2314
58	144	2303
59	146	2296
60	148	2289
61	150	2282
62	152	2275
63	155	2271
64	158	2272
65	160	2271
66	162	2262
67	164	2252
68	166	2248
69	169	2246
70	171	2243
71	173	2236
72	175	2227
73	177	2220
74	179	2211
75	182	2215
76	184	2210
77	186	2204
78	188	2197
79	190	2189
80	192	2184
81	194	2178
82	196	2172
83	199	2170
84	201	2169
85	203	2163
86	205	2156
87	207	2151
88	209	2142
89	211	2137
90	212	2122
91	215	2124
92	217	2122
93	219	2114
94	221	2108
95	223	2105
96	225	2097
97	227	2093
98	230	2094
99	232	2092
100	234	2087
101	236	2082
102	238	2077
103	240	2072
104	242	2066
105	244	2062
106	246	2060
107	249	2058
108	251	2054
109	253	2051
110	255	2047
111	259	2054
112	261	2054
113	264	2054
114	266	2053
115	269	2056
116	272	2059
117	275	2059
118	278	2059
119	280	2057
120	282	2053
121	284	2047
122	286	2044
123	288	2041
124	291	2037
125	293	2035
126	295	2030
127	297	2025
128	299	2021
129	301	2018
130	303	2013
131	305	2010
132	307	2006
133	310	2004
134	312	2002
135	314	1998
136	316	1991
137	318	1987
138	320	1983
139	322	1980
140	324	1976
141	326	1972
142	328	1968
143	330	1964
144	332	1961
145	334	1956
146	336	1953
147	338	1950
148	340	1946
149	343	1943
150	345	1941
151	347	1938
152	349	1935
153	352	1934
154	354	1930
155	356	1928
156	359	1930
157	362	1933
158	365	1931
159	367	1929
160	369	1925
161	371	1922
162	373	1918
163	375	1915
164	377	1912
165	379	1908
166	381	1904
167	383	1900
168	385	1896
169	388	1895
170	391	1896
171	393	1893
172	395	1890
173	397	1886
174	399	1882
175	401	1877
176	403	1875
177	405	1874
178	408	1871
179	410	1870
180	414	1873
181	416	1871
182	418	1870
183	421	1868
184	423	1866
185	425	1861
186	427	1859
187	429	1855
188	431	1852
189	433	1849
190	436	1847
191	438	1844
192	440	1840
193	442	1839
194	445	1837
195	447	1836
196	449	1833
197	452	1831
198	454	1829
199	457	1828
200	458	1823
201	460	1820
202	462	1817
203	464	1814
204	467	1811
205	469	1810
206	471	1807
207	474	1805
208	476	1802
209	478	1799
210	480	1797
211	482	1795
212	485	1792
213	487	1789
214	489	1786
215	491	1782
216	493	1779
217	495	1776
218	497	1774
219	499	1772
220	502	1769
221	504	1766
222	506	1763
223	507	1759
224	510	1756
225	511	1753
226	514	1750
227	516	1748
228	518	1745
229	520	1741
230	522	1739
231	524	1736
232	526	1732
233	528	1729
234	530	1726
235	532	1723
236	534	1720
237	536	1717
238	538	1714
239	540	1711
240	542	1708
241	546	1710
242	548	1708
243	550	1704
244	552	1701
245	554	1699
246	556	1697
247	558	1693
248	560	1690
249	562	1687
250	564	1685
251	567	1684
252	569	1681
253	571	1678
254	573	1675
255	575	1671
256	577	1669
257	580	1668
258	582	1666
259	584	1663
260	586	1661
261	588	1658
262	590	1656
263	593	1653
264	595	1651
265	597	1648
266	599	1645
267	601	1642
268	603	1639
269	605	1636
270	607	1633
271	609	1631
272	611	1629
273	614	1627
274	617	1627
275	619	1625
276	622	1623
277	624	1621
278	626	1619
279	628	1617
280	630	1614
281	633	1611
282	634	1608
283	636	1605
284	638	1602
285	641	1600
286	643	1597
287	645	1595
288	647	1591
289	649	1589
290	651	1586
291	653	1584
292	655	1581
293	657	1579
294	659	1577
295	662	1575
296	664	1572
297	666	1570
298	668	1567
299	670	1564
300	673	1564
301	676	1562
302	678	1560
303	680	1557
304	682	1555
305	685	1553
306	687	1552
307	690	1550
308	692	1548
309	694	1546
310	696	1544
311	699	1542
312	702	1540
313	704	1539
314	707	1538
315	709	1535
316	711	1532
317	713	1530
318	715	1527
319	718	1526
320	720	1524
321	722	1521
322	724	1518
323	726	1516
324	728	1513
325	730	1510
326	732	1507
327	734	1504
328	736	1503
329	738	1500
330	740	1497
331	742	1494
332	744	1491
333	746	1489
334	748	1485
335	750	1483
336	752	1481
337	754	1478
338	756	1475
339	758	1473
340	761	1470
341	763	1468
342	765	1465
343	767	1463
344	770	1462
345	772	1460
346	775	1458
347	776	1455
348	778	1452
